,Project Number,$Incentive,Total Nameplate kW DC,Expected KWh Annual Production
60583,5330-77286,2562.0,3.66,4296.0
60584,5098-93827,1976.0,9.88,11598.0
60585,5225-76594-GJ,3308.0,4.73,5546.0
60586,5156-46962,4125.0,8.25,9684.0
60587,5160-70387,1257.0,8.06,9461.0
60588,48592,2944.0,7.36,8639.0
60589,5247-60939,7644.0,10.92,12818.0
60590,5425-99824,1590.0,3.18,3733.0
60591,5361-98506,233095.91,589.12,691533.0
60592,5171-83004,2640.0,4.4,5165.0
60593,02018-042,13600.0,3.4,3991.0
60594,5156-49929-GJ,2808.0,7.02,8240.0
60595,5293-69616,2640.0,13.2,15495.0
60596,5292-59058,7639.0,13.08,15354.0
60597,5121-45955,3000.0,3.0,3522.0
60598,5125-60100-GJ,6272.0,7.84,9203.0
60599,5347-100521,2080.0,4.16,4883.0
60600,5194-84198-GJ,2240.0,11.2,13147.0
60601,5114-52838,10800.0,12.24,14368.0
60602,5181-55766-GJ,3000.0,10.14,11903.0
60603,5245-98576,1365.0,3.64,4273.0
60604,67746,2496.0,6.24,7325.0
60605,5409-90769,6300.0,15.75,18488.0
60606,5178-49264-GJ,2544.0,8.7,10212.0
60607,5273-76770,4144.0,11.04,12959.0
60608,5138-65160-GJ,4592.0,10.25,12032.0
60609,5441-102505,5520.0,13.8,16199.0
60610,5137-47464,8662.0,13.0,15260.0
60611,5347-71969,1764.0,2.52,2958.0
60612,5198-54605-GJ,2470.0,11.73,13769.0
60613,69054,3161.0,8.32,9766.0
60614,5171-99621,3840.0,7.68,9015.0
60615,5336-102850,2420.0,6.05,7102.0
60616,5137-50269,11250.0,12.5,14673.0
60617,5165-101715,5723.0,11.45,13435.0
60618,5247-95714,2496.0,6.24,7325.0
60619,02030-024,33600.0,8.4,9860.0
60620,5293-62381,3249.0,6.63,7783.0
60621,5159-69222,1440.0,7.2,8452.0
60622,5105-50793,3791.0,6.25,7337.0
60623,5290-68088,3205.0,4.58,5374.0
60624,5333-76763,8829.0,17.66,20728.0
60625,5122-101241,3528.0,8.82,10353.0
60626,5292-70374,8240.0,11.77,13818.0
60627,5229-83375,4251.0,8.5,9980.0
60628,5321-67726,1740.0,8.7,10212.0
60629,02096-003,14400.0,3.6,4226.0
60630,02116-028,11760.0,2.94,3451.0
60631,5159-62611,606.0,3.06,3592.0
60632,5137-84713,1489.0,10.2,11973.0
60633,5137-55598,12000.0,15.0,17608.0
60634,5245-97543,1759.0,3.71,4355.0
60635,5293-92127-GJ,1183.0,7.69,9021.0
60636,5379-97086,4709.0,7.85,9212.0
60637,5105-45605,6324.0,8.5,9978.0
60638,02077-024,9120.0,2.28,2676.0
60639,5105-44801,7500.0,7.5,8804.0
60640,5181-57748,3536.0,4.42,5188.0
60641,5098-89655,1233.0,8.33,9778.0
60642,24800-2,299096.19,241.34,317121.0
60643,48678,2302.0,5.98,7020.0
60644,5104-71034,788.0,5.25,6163.0
60645,5324-71630,756.0,3.78,4437.0
60646,5098-85367,2726.0,9.09,10664.0
60647,5395-98020,4316.0,7.19,8445.0
60648,5104-42496,9000.0,9.0,10565.0
60649,5137-63216,5121.0,10.5,12325.0
60650,5156-54031,4982.0,12.46,14620.0
60651,5159-62598,2340.0,7.8,9156.0
60652,5352-76195,3139.0,5.23,6142.0
60653,5336-79966,1575.0,3.15,3698.0
60654,5153-51998,4992.0,12.48,14650.0
60655,5247-96482,3283.0,10.66,12513.0
60656,5159-82190,1860.0,9.3,10917.0
60657,5142-67423-GJ,2085.0,13.72,16105.0
60658,5379-95858,4905.0,8.18,9596.0
60659,5159-90322,1938.0,9.69,11375.0
60660,5159-70975,1080.0,5.4,6339.0
60661,5153-67336,1001.0,6.5,7630.0
60662,5128-45355,6720.0,6.72,7888.0
60663,5137-61215,6300.0,9.0,10565.0
60664,02001-038,11424.0,2.86,3352.0
60665,5181-65755-GJ,1201.0,8.58,10072.0
60666,5400-97595,5494.0,9.16,10748.0
60667,5290-99385,1955.0,4.95,5811.0
60668,5098-96441,1908.0,3.18,3733.0
60669,5137-79667,849.0,2.3,2694.0
60670,5401-47782,86116.0,204.44,239974.0
60671,5159-94827,3249.0,16.25,19069.0
60672,5379-99428,5069.0,10.14,11899.0
60673,5122-67599-GJ,4950.0,8.25,9684.0
60674,5320-73487,2080.0,10.4,12208.0
60675,68820,2898.0,7.25,8504.0
60676,5297-102677,4905.0,9.81,11515.0
60677,5098-82770,1699.0,3.78,4431.0
60678,5156-65822,1469.0,10.8,12677.0
60679,5293-71230-GJ,764.0,5.7,6691.0
60680,5171-56944,4000.0,5.0,5869.0
60681,5159-79519,1920.0,9.6,11269.0
60682,5292-45193,14307.0,19.62,23031.0
60683,5397-101343,3328.0,8.32,9766.0
60684,5273-79087,3728.0,6.21,7293.0
60685,02006-054,18720.0,4.68,5494.0
60686,5194-0004-Financing,0.0,11.2,13147.0
60687,5397-94239,2496.0,6.24,7325.0
60688,5297-95859,2943.0,6.54,7677.0
60689,5171-58898,5200.0,6.5,7630.0
60690,5293-94586,595.0,4.51,5288.0
60691,5324-77836,1080.0,5.4,6339.0
60692,5124-49462,18563.0,20.7,24298.0
60693,5098-84100,4413.0,9.09,10664.0
60694,5159-58792,1725.0,5.75,6750.0
60695,5297-80944,2747.0,4.58,5374.0
60696,5245-96586,1248.0,6.24,7325.0
60697,5171-50018,5967.0,6.63,7783.0
60698,5247-83070,3380.0,6.76,7935.0
60699,5377-97130,2496.0,6.24,7325.0
60700,5400-93895,2158.0,3.6,4222.0
60701,5274-79755,3050.0,9.52,11175.0
60702,02017-001,10080.0,2.24,2629.0
60703,5125-67324,11172.0,15.96,18734.0
60704,68569,2367.0,7.69,9021.0
60705,68995,21000.0,30.0,35215.0
60706,67662,2860.0,5.72,6714.0
60707,5153-79609,3580.0,7.65,8980.0
60708,5373-85659,6698.0,13.4,15724.0
60709,5438-102498,2271.0,7.28,8546.0
60710,5352-88391,4560.0,9.12,10705.0
60711,02018-029,27200.0,6.8,7982.0
60712,5336-76747,3640.0,7.28,8546.0
60713,68648,0.0,10.14,11899.0
60714,5159-62152,2831.0,9.44,11075.0
60715,5105-43003,8250.0,8.25,9684.0
60716,5122-80468,3360.0,6.72,7888.0
60717,5138-60337,5600.0,8.0,9391.0
60718,69093,1352.0,3.38,3968.0
60719,68014,3744.0,9.36,10987.0
60720,5293-52103-GJ,4820.0,5.36,6286.0
60721,5159-66496,585.0,3.9,4578.0
60722,5245-97565,3120.0,5.2,6104.0
60723,5273-83589,3139.0,5.23,6142.0
60724,5320-87448,936.0,4.68,5494.0
60725,5292-55327,7946.0,8.83,10364.0
60726,5401-98142,595266.48,2984.85,3503736.0
60727,5122-88770,1733.0,3.47,4067.0
60728,5293-84686-GJ,2438.0,12.19,14309.0
60729,5273-83580,2115.0,4.58,5374.0
60730,5194-93214-GJ,2536.0,12.68,14884.0
60731,5171-100351,1014.0,3.9,4578.0
60732,67909,0.0,9.45,11093.0
60733,5171-60325,3000.0,3.75,4402.0
60734,02018-018-1,12600.0,3.15,3698.0
60735,5138-102233,1248.0,4.8,5634.0
60736,5247-66326,5460.0,7.8,9156.0
60737,5162-60696,1326.0,4.42,5188.0
60738,68345,1860.0,3.72,4367.0
60739,5156-48477-GJ,2966.0,9.72,11410.0
60740,5230-96046,1570.0,7.85,9212.0
60741,5293-72545-GJ,4680.0,7.8,9156.0
60742,5098-91695,4545.0,7.58,8892.0
60743,5105-58722,3864.0,7.0,8217.0
60744,5196-52664,7500.0,10.97,12871.0
60745,5160-69677,3370.0,7.8,9156.0
60746,5293-98974,1590.0,3.98,4666.0
60747,5159-47991,3232.0,9.95,11674.0
60748,5397-92732,1872.0,4.68,5494.0
60749,5142-96279-GJ,2268.0,11.34,13311.0
60750,5153-54858,9600.0,12.0,14086.0
60751,5138-66537,2142.0,4.25,4989.0
60752,5159-58820,4275.0,14.25,16727.0
60753,02061-068-1,109420.0,28.14,33032.0
60754,5138-56495-GJ,7200.0,9.0,10565.0
60755,5154-54231-GJ,4226.0,13.72,16105.0
60756,48628,3480.0,8.7,10212.0
60757,5293-83507,3180.0,6.36,7466.0
60758,5297-92241,3877.0,8.5,9980.0
60759,5129-46259-GJ,7000.0,7.0,8217.0
60760,5347-92348,4104.0,7.13,8364.0
60761,02015-007,122840.0,27.28,32019.0
60762,49794-1,84495.07,200.08,234862.0
60763,5137-57394,6600.0,8.25,9684.0
60764,5114-63634,2867.0,4.1,4807.0
60765,5411-97960,4513.0,7.52,8828.0
60766,5293-70319-GJ,7956.0,13.26,15565.0
60767,37876A-1,1770615.0,2445.12,2356118.0
60768,5159-89088,2793.0,13.97,16393.0
60769,5137-102359,1658.0,5.1,5987.0
60770,5105-52520,5003.0,8.5,9978.0
60771,5194-81622-GJ,2035.0,10.18,11944.0
60772,5121-92445,2968.0,7.42,8710.0
60773,5336-70997-GJ,3300.0,5.5,6456.0
60774,5245-97940,2465.0,5.2,6104.0
60775,5292-62299,7848.0,9.81,11515.0
60776,5409-79837,2228.0,6.0,7043.0
60777,5336-73034-GJ,4950.0,8.95,10506.0
60778,5171-59862,4600.0,5.75,6750.0
60779,5149-62431,2544.0,8.48,9954.0
60780,02012-009,13860.0,3.47,4067.0
60781,5407-88817,55385.0,81.0,95081.0
60782,5159-90779,1440.0,7.2,8452.0
60783,5293-64159,7280.0,10.4,12208.0
60784,5138-96137,1530.0,2.55,2993.0
60785,02033-004,52500.0,10.5,12325.0
60786,02003-083,20120.0,5.04,5916.0
60787,66117,1279.0,4.51,5288.0
60788,5225-72128-GJ,5124.0,7.32,8593.0
60789,5400-102777,3434.0,6.87,8061.0
60790,5159-60272,2700.0,9.0,10565.0
60791,5122-44420,5565.0,5.57,6532.0
60792,5379-97928,2060.0,4.91,5758.0
60793,5170-80268XX-IRH,911.0,6.24,7325.0
60794,5292-88861,1962.0,3.27,3838.0
60795,5165-57538,7325.0,9.16,10748.0
60796,65216,2120.0,5.3,6221.0
60797,5159-63442,1890.0,6.3,7395.0
60798,5347-101319,1300.0,2.6,3052.0
60799,5138-101370,1907.0,8.67,10177.0
60800,5125-65801-GJ,5775.0,8.25,9684.0
60801,5098-83262,2816.0,7.32,8587.0
60802,5100-65370,4200.0,6.0,7043.0
60803,5292-48189,5657.0,7.85,9212.0
60804,5178-66210-GJ,2016.0,10.08,11832.0
60805,5292-80457,4650.0,9.81,11515.0
60806,5373-100035,4788.0,11.97,14051.0
60807,5138-97324,1245.0,2.81,3293.0
60808,5159-78793,1617.0,10.5,12325.0
60809,5159-93310,1938.0,9.69,11375.0
60810,5159-54235,1600.0,4.0,4695.0
60811,5138-88439,1550.0,5.0,5869.0
60812,68714,3780.0,7.56,8874.0
60813,5156-64116,840.0,5.4,6339.0
60814,5137-48328,3000.0,3.0,3522.0
60815,5159-67342,1080.0,5.4,6339.0
60816,5395-92272,5494.0,9.16,10748.0
60817,69070,4176.0,10.44,12255.0
60818,5273-83863,1962.0,3.27,3838.0
60819,02093-001,24800.0,6.2,7278.0
60820,51520,8012.0,11.45,13435.0
60821,5438-102044,3210.0,12.74,14955.0
60822,5336-98061,3420.0,8.55,10036.0
60823,5181-0130-Financing,0.0,10.64,12490.0
60824,02005-023,38880.0,8.64,10142.0
60825,33522A-1,274074.0,364.65,351377.0
60826,5149-76983,1650.0,8.25,9684.0
60827,02086-018,8160.0,2.04,2395.0
60828,5136-57580,1749.0,3.26,3830.0
60829,5247-77161,3640.0,7.28,8546.0
60830,5159-54259,2400.0,8.16,9579.0
60831,5297-90217,3728.0,6.21,7293.0
60832,02012-027,14400.0,3.2,3756.0
60833,5098-88142,3588.0,5.98,7020.0
60834,5181-60695-GJ,3900.0,13.0,15260.0
60835,5245-72645,3384.0,6.36,7466.0
60836,5138-55700-GJ,8600.0,10.75,12619.0
60837,66151,4758.0,17.76,20842.0
60838,5352-76653-GJ,3456.0,5.76,6761.0
60839,02003-021,20475.0,4.55,5341.0
60840,5293-101393,2968.0,7.42,8710.0
60841,02077-009,10080.0,2.52,2958.0
60842,5138-98493,1872.0,6.0,7043.0
60843,5140-66783-GJ,970.0,6.3,7395.0
60844,5245-98587,5340.0,13.52,15870.0
60845,5142-0173-Financing,0.0,13.55,15900.0
60846,5098-90674,1430.0,3.58,4196.0
60847,5098-92777YY,1512.0,7.56,8874.0
60848,5159-62139,2010.0,9.18,10776.0
60849,5388-88157,4204.0,9.1,10682.0
60850,5122-60558-GJ,4043.0,5.78,6779.0
60851,5321-91310,1005.0,6.44,7560.0
60852,5438-102804,2288.0,5.72,6714.0
60853,5105-57962,5200.0,6.5,7630.0
60854,5115-60047-GJ,7552.0,9.44,11081.0
60855,5137-50574,5625.0,6.25,7337.0
60856,5297-85466,7440.0,17.66,20728.0
60857,02098-001,9000.0,2.0,2348.0
60858,5142-58318-GJ,2352.0,7.84,9203.0
60859,02094-002,8160.0,2.04,2395.0
60860,67940,1432.0,3.72,4367.0
60861,5318-99708,1172566.59,2999.75,3521221.0
60862,5159-66529,3360.0,16.8,19721.0
60863,5165-69712,3205.0,4.58,5374.0
60864,02159-005,23360.0,6.12,7184.0
60865,5107-43632,8215.0,8.68,10189.0
60866,5160-70950,1522.0,9.88,11598.0
60867,5159-101716,1710.0,3.42,4015.0
60868,5397-99420,1872.0,4.68,5494.0
60869,5159-60458,1500.0,5.0,5869.0
60870,5140-63876,1464.0,7.32,8593.0
60871,5379-93962,2747.0,4.58,5374.0
60872,5153-59333,3648.0,6.0,7043.0
60873,5178-89374,1590.0,7.95,9332.0
60874,67828,3074.0,7.69,9021.0
60875,5336-98862,6496.0,16.24,19063.0
60876,5379-99611,1472.0,2.94,3455.0
60877,5273-90472,1308.0,6.54,7677.0
60878,31329-1,311426.0,239.4,230686.0
60879,5153-60725,1125.0,3.75,4402.0
60880,5098-84148,3410.0,6.82,8006.0
60881,5292-66710,3214.0,5.89,6909.0
60882,5400-97635,3532.0,5.89,6909.0
60883,5397-101414,1423.0,4.68,5494.0
60884,5105-56293,2797.0,4.75,5576.0
60885,5247-59092,11200.0,13.72,16105.0
60886,69139,3236.0,11.4,13376.0
60887,5373-95542,1596.0,3.99,4684.0
60888,5400-102742,1962.0,3.92,4606.0
60889,02003-053,15120.0,3.78,4437.0
60890,5200-94797,62500.0,239.4,281017.0
60891,5156-48403,4320.0,10.8,12677.0
60892,67890,3036.0,7.69,9021.0
60893,5159-70968,1080.0,5.4,6339.0
60894,68872,8175.0,32.7,38385.0
60895,5297-88841,3532.0,5.89,6909.0
60896,5293-49606,3213.0,3.57,4191.0
60897,5411-98885,4120.0,11.45,13435.0
60898,5330-94708,3969.0,6.62,7765.0
60899,5156-54411-GJ,2340.0,7.8,9156.0
60900,5159-60236,4500.0,15.0,17608.0
60901,5297-67767,8012.0,11.45,13435.0
60902,5293-100763,3840.0,12.19,14309.0
60903,5137-92317,3300.0,11.0,12912.0
60904,5159-100492,1995.0,3.99,4684.0
60905,5138-55343-GJ,2144.0,4.0,4695.0
60906,5105-58890,4507.0,7.25,8510.0
60907,5194-78685-GJ,1802.0,11.55,13558.0
60908,02042-007-1,26600.0,7.2,8452.0
60909,5156-62883,2333.0,10.8,12677.0
60910,5098-83561,2352.0,3.92,4601.0
60911,5122-83634,5040.0,10.36,12161.0
60912,5245-98402,1950.0,5.2,6104.0
60913,5167-98160,582238.26,2799.36,3286001.0
60914,5171-56163,8288.0,10.36,12161.0
60915,5159-61412,1500.0,5.1,5987.0
60916,5098-84099,3154.0,8.53,10007.0
60917,23508-6,445786.0,275.82,362427.0
60918,5098-87714,5913.0,11.83,13881.0
60919,5098-86286,3025.0,6.05,7102.0
60920,5245-94125,2398.0,6.89,8088.0
60921,24803B-2,85808.95,282.15,370745.0
60922,5125-80004,3163.0,6.33,7425.0
60923,5138-58619-GJ,5200.0,6.5,7630.0
60924,5166-67013,3850.0,5.5,6456.0
60925,5156-55122,1818.0,9.72,11410.0
60926,02030-150,22550.0,5.85,6867.0
60927,5427-101711,1635.0,3.27,3838.0
60928,02011-004,40000.0,9.95,11684.0
60929,69108,3712.0,9.28,10893.0
60930,5105-56135,4000.0,5.0,5869.0
60931,5156-52513,4440.0,11.1,13030.0
60932,5320-66829,616.0,4.16,4883.0
60933,5098-83845,1344.0,2.24,2629.0
60934,5098-86367,1312.0,6.56,7700.0
60935,68945,2550.0,5.1,5987.0
60936,5165-46924,12099.0,12.1,14202.0
60937,5293-79864,8904.0,14.84,17420.0
60938,5159-101475,936.0,2.57,3011.0
60939,02056-027,24960.0,6.24,7325.0
60940,68959,10954.0,21.91,25718.0
60941,5397-99909,1385.0,4.68,5494.0
60942,5138-77128,2287.0,5.36,6286.0
60943,5105-51049,5656.0,9.0,10565.0
60944,5159-66508,900.0,4.5,5282.0
60945,5293-87173,4505.0,9.01,10576.0
60946,5409-89055,6300.0,12.6,14790.0
60947,5100-70817,7260.0,12.1,14203.0
60948,5098-82706,2903.0,5.81,6814.0
60949,5137-46456,5076.0,6.86,8053.0
60950,5209-60291,910.0,4.34,5089.0
60951,5273-94145,2354.0,3.92,4606.0
60952,5427-102750,2894.0,8.04,9438.0
60953,5336-96184,3648.0,9.12,10705.0
60954,68231,1709.0,6.89,8088.0
60955,02001-006,14700.0,3.68,4314.0
60956,5292-40410,7194.0,7.19,8445.0
60957,66060,3401.0,8.5,9980.0
60958,5324-82208,603.0,4.86,5705.0
60959,5122-71091-GJ,4785.0,7.98,9361.0
60960,5105-46448,4773.0,8.25,9684.0
60961,5104-42767,10720.0,16.75,19662.0
60962,5297-66858,7325.0,10.46,12283.0
60963,5347-102161,2332.0,5.98,7020.0
60964,68043,3819.0,6.24,7325.0
60965,02008-007,29120.0,7.28,8546.0
60966,02005-014,11520.0,2.88,3381.0
60967,5159-78645,1080.0,5.4,6339.0
60968,5245-58974,5588.0,7.11,8340.0
60969,5142-70536-GJ,1398.0,10.92,12818.0
60970,02006-018,26052.0,6.51,7645.0
60971,5293-94958-GJ,1176.0,8.4,9860.0
60972,5159-64241,1224.0,6.12,7184.0
60973,02061-093,14400.0,3.6,4226.0
60974,5105-52025,11282.0,17.5,20542.0
60975,5098-86955,2538.0,7.58,8892.0
60976,5138-46129,4381.0,5.88,6902.0
60977,5171-54460,2513.0,3.83,4490.0
60978,5137-70932,2700.0,4.5,5282.0
60979,5153-69259,6923.0,17.75,20836.0
60980,68445,2288.0,5.72,6714.0
60981,5397-99093,2496.0,6.24,7325.0
60982,68469,4680.0,11.7,13734.0
60983,5138-55994,2964.0,4.75,5576.0
60984,33544-1,526741.0,640.81,617485.0
60985,5159-61476,2678.0,8.93,10477.0
60986,48713,2171.0,8.48,9954.0
60987,5293-59762,17340.0,21.68,25443.0
60988,37871-1,772915.15,1362.13,1312548.0
60989,5098-93273,936.0,4.68,5494.0
60990,5293-55170-GJ,4968.0,6.21,7290.0
60991,5293-75538-GJ,1714.0,11.13,13065.0
60992,5122-63835,4620.0,6.6,7747.0
60993,5320-70113,676.0,3.38,3968.0
60994,5153-78232,4002.0,9.69,11375.0
60995,02018-050-1,22472.0,5.82,6836.0
60996,02095-031,60480.0,15.12,17748.0
60997,5098-87973,4032.0,6.72,7888.0
60998,5165-61575,9384.0,11.73,13769.0
60999,5159-72086-IRH,900.0,4.5,5282.0
61000,5178-70067-GJ,1680.0,8.4,9860.0
61001,5245-97337,3120.0,5.2,6104.0
61002,5159-95982,2340.0,11.7,13734.0
61003,66096,3182.0,8.16,9579.0
61004,5247-86519,2100.0,4.2,4930.0
61005,5159-71596,1560.0,7.8,9156.0
61006,68884,1950.0,3.9,4578.0
61007,5275-66001,8379.0,12.6,14790.0
61008,5137-46554,6370.0,6.37,7477.0
61009,02005-058,14400.0,3.6,4226.0
61010,5293-78357,4108.0,8.22,9643.0
61011,5159-81594,1080.0,5.4,6339.0
61012,5297-90774,3924.0,6.54,7677.0
61013,5100-72871,6000.0,10.0,11738.0
61014,5098-85756,2154.0,3.59,4214.0
61015,5159-54252,2300.0,5.75,6750.0
61016,5352-86155,7670.0,15.34,18007.0
61017,5129-44181-GJ,8250.0,8.25,9684.0
61018,5098-90742,1248.0,3.12,3662.0
61019,5148-76433,2040.0,10.2,11973.0
61020,5159-62111,2066.0,6.89,8082.0
61021,02095-006,24480.0,6.12,7184.0
61022,5352-99666,3270.0,8.18,9596.0
61023,5159-89065,624.0,4.28,5018.0
61024,5409-101787,3276.0,8.19,9614.0
61025,5153-72358,3465.0,7.5,8804.0
61026,5140-79479-GJ,1191.0,9.45,11093.0
61027,5336-97442,2280.0,5.7,6691.0
61028,5200-52938,2851.0,13.48,15817.0
61029,5425-99880,2544.0,6.36,7466.0
61030,48091,6278.0,15.7,18425.0
61031,66034,13172.0,52.92,62120.0
61032,67794,0.0,6.08,7137.0
61033,5347-75273,4200.0,6.0,7043.0
61034,5321-0258-Financing,0.0,12.96,15213.0
61035,5098-87294,2750.0,5.5,6456.0
61036,5293-67666-GJ,2326.0,5.46,6409.0
61037,5159-90828,741.0,3.71,4349.0
61038,5121-67304,7235.0,10.34,12132.0
61039,67798,2278.0,7.8,9156.0
61040,5321-100531,2340.0,6.24,7325.0
61041,28789A-1,2169159.0,2316.16,2231852.0
61042,5292-60602,5232.0,6.54,7677.0
61043,5159-80302,515.0,3.3,3874.0
61044,5138-70167,2100.0,3.0,3522.0
61045,5140-72926,1464.0,7.32,8593.0
61046,02030-076,17200.0,4.3,5048.0
61047,5229-79114,2850.0,5.7,6691.0
61048,5401-47797,68200.0,136.4,160112.0
61049,5321-76426,1183.0,9.1,10682.0
61050,5159-68845,1200.0,6.0,7043.0
61051,5297-101756,3761.0,7.52,8828.0
61052,5336-100777,5244.0,13.11,15389.0
61053,68076,2736.0,6.84,8029.0
61054,02061-021,33280.0,8.32,9766.0
61055,5411-102719,2943.0,5.89,6909.0
61056,02117-019,19200.0,4.8,5634.0
61057,5397-100594,1872.0,4.68,5494.0
61058,5104-42515,5100.0,7.5,8804.0
61059,02030-098,39936.0,9.98,11720.0
61060,02022-019-1,28370.0,7.79,9144.0
61061,5156-58320-GJ,1350.0,4.5,5282.0
61062,5411-99227,7848.0,15.7,18425.0
61063,5293-70208,6084.0,10.14,11903.0
61064,5297-94141,2354.0,3.92,4606.0
61065,5297-84623,1719.0,11.77,13818.0
61066,5098-91156,2340.0,3.9,4578.0
61067,5273-97596,4513.0,8.28,9719.0
61068,5247-85615,2700.0,5.4,6339.0
61069,5171-60941,2000.0,2.5,2935.0
61070,5114-54502,4566.0,7.02,8240.0
61071,5297-72234,4403.0,11.12,13051.0
61072,02095-021,24640.0,6.16,7231.0
61073,5218-65308,2184.0,3.12,3662.0
61074,5400-98003,3924.0,6.54,7677.0
61075,5165-63336,4821.0,8.83,10364.0
61076,5098-94117,1984.0,4.24,4977.0
61077,5293-81939,5300.0,10.6,12443.0
61078,5373-98568,1819.0,7.98,9367.0
61079,5129-46913-GJ,7395.0,7.4,8681.0
61080,5100-57336,4752.0,5.94,6973.0
61081,5292-59612,8110.0,10.14,11899.0
61082,5170-60660,3935.0,13.12,15395.0
61083,5121-89310,4452.0,11.13,13065.0
61084,5149-51858,87000.0,200.0,234768.0
61085,5293-61934,3276.0,4.68,5494.0
61086,02030-096,25800.0,6.45,7571.0
61087,5247-88036,4940.0,9.88,11598.0
61088,5153-73170,2800.0,14.0,16434.0
61089,5229-59313,5376.0,6.84,8029.0
61090,5122-78871,4760.0,9.69,11375.0
61091,02094-009,23904.0,5.98,7015.0
61092,5105-45233,5750.0,5.75,6750.0
61093,5428-98629,2126.0,4.25,4990.0
61094,5129-55354-GJ,3400.0,4.25,4989.0
61095,5171-100507,1950.0,3.9,4578.0
61096,5138-55342,3066.0,5.25,6163.0
61097,5105-50001,5844.0,9.25,10858.0
61098,5379-100472,3237.0,9.81,11515.0
61099,5209-73428,2754.0,13.77,16164.0
61100,5165-64990,4349.0,6.21,7293.0
61101,5293-69061-GJ,7696.0,19.24,22585.0
61102,67878,0.0,17.94,21059.0
61103,5171-99587,3120.0,6.24,7325.0
61104,5181-73590-GJ,2142.0,10.71,12572.0
61105,5173-62645,1922.0,6.41,7518.0
61106,10747,3648.0,9.12,10705.0
61107,41232-1,720689.0,897.6,1053639.0
61108,5181-89614,3024.0,15.12,17748.0
61109,5159-50032,2856.0,7.14,8381.0
61110,5209-81105,1460.0,9.36,10987.0
61111,5138-81834,4050.0,8.1,9508.0
61112,5105-54127,4678.0,6.75,7923.0
61113,5379-98585,1799.0,3.6,4222.0
61114,5149-57273-GJ,1666.0,7.7,9039.0
61115,5165-66066,5723.0,8.18,9596.0
61116,5098-88851,3729.0,6.22,7295.0
61117,02061-059,23450.0,6.15,7219.0
61118,5171-55689,2800.0,3.5,4108.0
61119,48326,1603.0,5.57,6532.0
61120,5105-44638,3825.0,5.0,5869.0
61121,5411-97977,4726.0,10.79,12667.0
61122,5137-50552,4275.0,4.75,5576.0
61123,31337A-1,323680.0,386.1,372046.0
61124,5347-70244,1985.0,2.84,3328.0
61125,5105-60006,4550.0,6.5,7630.0
61126,68408,0.0,8.0,9391.0
61127,5321-68503,1620.0,8.1,9508.0
61128,48662,4125.0,8.25,9684.0
61129,5297-87984,5101.0,8.5,9980.0
61130,67899,2325.0,4.65,5458.0
61131,5098-91346,1008.0,5.04,5916.0
61132,02147-002,12000.0,3.0,3522.0
61133,5321-0205-Financing,0.0,13.78,16176.0
61134,5105-45884,9212.0,12.0,14086.0
61135,5194-62310-GJ,2268.0,7.56,8874.0
61136,5137-51706,6800.0,8.5,9978.0
61137,5400-102116,4905.0,9.81,11515.0
61138,5321-0210-Financing,0.0,5.98,7020.0
61139,5165-63674,3090.0,5.89,6909.0
61140,02008-005-1,24480.0,6.12,7184.0
61141,5105-50729,9688.0,14.0,16434.0
61142,5320-71183,1248.0,6.24,7325.0
61143,02086-003,41400.0,10.35,12149.0
61144,5292-58080,5494.0,6.87,8061.0
61145,5159-89104,1824.0,9.12,10705.0
61146,5153-82433,714.0,3.57,4191.0
61147,5098-94438,2756.0,6.89,8088.0
61148,49778-1,90803.94,159.21,186887.0
61149,5138-75483,2087.0,5.61,6585.0
61150,02117-017,24200.0,6.4,7513.0
61151,5137-53939,2540.0,8.0,9391.0
61152,5159-68493,2040.0,10.2,11973.0
61153,5212-37949,67520.0,79.2,92968.0
61154,5230-81331,1897.0,9.48,11132.0
61155,02061-011,21280.0,5.32,6245.0
61156,5293-60556-GJ,6237.0,8.91,10459.0
61157,5137-51991,2500.0,6.25,7337.0
61158,02001-028,13680.0,3.42,4015.0
61159,5220-50538,850.0,2.13,2494.0
61160,5138-59022,6600.0,8.25,9684.0
61161,5159-102328,1646.0,4.28,5018.0
61162,5321-77898-GJ,1140.0,5.7,6691.0
61163,68301,1362.0,4.48,5259.0
61164,5118-46450,6524.0,9.36,10987.0
61165,02030-116,16400.0,4.2,4930.0
61166,5171-93048,3003.0,6.5,7630.0
61167,5297-85894,2296.0,4.91,5758.0
61168,5129-60987-GJ,11600.0,14.5,17021.0
61169,02003-087-1,21560.0,5.52,6480.0
61170,5140-89122YYGJ-IRH,1260.0,6.3,7395.0
61171,5293-86400,1200.0,6.0,7043.0
61172,48497,1836.0,4.59,5388.0
61173,5247-94402,2808.0,7.02,8240.0
61174,5245-72373,4630.0,8.48,9954.0
61175,02018-010,10560.0,2.64,3099.0
61176,5209-75313YY,1588.0,11.18,13124.0
61177,5105-62522,3150.0,4.5,5282.0
61178,02061-002,72600.0,14.52,17044.0
61179,5293-68609,2200.0,11.0,12912.0
61180,5347-77138,4190.0,5.99,7025.0
61181,5292-54347,6180.0,6.87,8061.0
61182,5165-63436,8677.0,12.4,14550.0
61183,5137-46801,1477.0,4.16,4883.0
61184,5273-89779,4709.0,7.85,9212.0
61185,5292-56345,11772.0,14.72,17273.0
61186,5159-52298,1702.0,5.75,6750.0
