Zip Code,City,County,State
11694,Belle Harbor,Nassau,NY
14850,Ithaca,Tompkins,NY
11702,Babylon,Suffolk,NY
11561,Long Beach,Nassau,NY
11561,Long Beach,Nassau,NY
11783,Seaford,Nassau,NY
11772,East Patchogue,Suffolk,NY
11791,Syosset,Nassau,NY
11976,Water Mill,Suffolk,NY
11747,Melville,Suffolk,NY
13802,Maine,Broome,NY
11729,Deer Park,Suffolk,NY
11731,East Northport,Suffolk,NY
12186,Voorheesville,Albany,NY
11764,Miller Place,Suffolk,NY
13605,Adams,Jefferson,NY
11780,Saint James,Suffolk,NY
11746,Dix Hills,Suffolk,NY
11944,Greenport,Suffolk,NY
11764,Miller Place,Suffolk,NY
13827,Owego,Tioga,NY
11751,Islip,Suffolk,NY
11789,Sound Beach,Suffolk,NY
11554,East Meadow,Nassau,NY
11569,Point Lookout,Nassau,NY
11782,Sayville,Suffolk,NY
11733,East Setauket,Suffolk,NY
11793,Wantagh,Nassau,NY
11716,Bohemia,Suffolk,NY
11752,Islip Terrace,Suffolk,NY
11729,Deer Park,Suffolk,NY
11932,Bridgehampton,Suffolk,NY
11590,Westbury,Nassau,NY
11758,Massapequa,Nassau,NY
12569,Pleasant Valley,Dutchess,NY
11949,Manorville,Suffolk,NY
11554,East Meadow,Nassau,NY
11757,Lindenhurst,Suffolk,NY
11735,Farmingdale,Suffolk,NY
11901,Flanders,Suffolk,NY
11561,Lido Beach,Nassau,NY
11978,Quiogue,Suffolk,NY
11704,West Babylon,Suffolk,NY
11786,Shoreham,Suffolk,NY
11801,Hicksville,Nassau,NY
11771,Oyster Bay,Nassau,NY
11788,Hauppauge,Suffolk,NY
11801,Hicksville,Nassau,NY
11952,Mattituck,Suffolk,NY
11554,East Meadow,Nassau,NY
11963,Sag Harbor,Suffolk,NY
11746,Huntington Station,Suffolk,NY
12474,Roxbury,Delaware,NY
11742,Holtsville,Suffolk,NY
11930,Amagansett,Suffolk,NY
11790,Stony Brook,Suffolk,NY
11934,Center Moriches,Suffolk,NY
14850,Ithaca,Tompkins,NY
11581,Valley Stream,Nassau,NY
11932,Bridgehampton,Suffolk,NY
11746,Dix Hills,Suffolk,NY
11730,East Islip,Suffolk,NY
12059,East Berne,Albany,NY
11954,Montauk,Suffolk,NY
11940,East Moriches,Suffolk,NY
11010,Franklin Square,Nassau,NY
11501,Mineola,Nassau,NY
11716,Bohemia,Suffolk,NY
11738,Farmingville,Suffolk,NY
11762,Massapequa Park,Nassau,NY
11704,West Babylon,Suffolk,NY
11787,Smithtown,Suffolk,NY
12401,Kingston,Ulster,NY
11779,Ronkonkoma,Suffolk,NY
14606,Rochester,Monroe,NY
11797,Woodbury,Nassau,NY
11729,Deer Park,Suffolk,NY
11030,Manhasset,Nassau,NY
11963,Sag Harbor,Suffolk,NY
11558,Island Park,Nassau,NY
11021,Great Neck,Nassau,NY
11795,West Islip,Suffolk,NY
11720,Centereach,Suffolk,NY
11746,Dix Hills,Suffolk,NY
11702,Babylon,Suffolk,NY
11738,Farmingville,Suffolk,NY
11563,Lynbrook,Nassau,NY
11731,East Northport,Suffolk,NY
11746,Dix Hills,Suffolk,NY
11726,Copiague,Suffolk,NY
11702,Babylon,Suffolk,NY
11786,Shoreham,Suffolk,NY
11804,Old Bethpage,Nassau,NY
11954,Montauk,Suffolk,NY
11767,Nesconset,Suffolk,NY
11777,Port Jefferson,Suffolk,NY
11563,Lynbrook,Nassau,NY
11706,Bay Shore,Suffolk,NY
11580,Valley Stream,Nassau,NY
11795,West Islip,Suffolk,NY
11772,Patchogue,Suffolk,NY
11962,Sagaponack,Suffolk,NY
11769,Oakdale,Suffolk,NY
11901,Riverhead,Suffolk,NY
11751,Islip,Suffolk,NY
11952,Mattituck,Suffolk,NY
11976,Water Mill,Suffolk,NY
11735,Farmingdale,Nassau,NY
11798,Wyandanch,Suffolk,NY
11937,East Hampton,Suffolk,NY
14850,Ithaca,Tompkins,NY
13502,Utica,Oneida,NY
11746,Huntington Station,Suffolk,NY
11784,Selden,Suffolk,NY
11779,Ronkonkoma,Suffolk,NY
11768,Northport,Suffolk,NY
14886,Trumansburg,Tompkins,NY
11767,Nesconset,Suffolk,NY
11968,Southampton,Suffolk,NY
11703,North Babylon,Suffolk,NY
11772,East Patchogue,Suffolk,NY
11743,Huntington,Suffolk,NY
11743,Huntington,Suffolk,NY
11766,Mount Sinai,Suffolk,NY
11746,Dix Hills,Suffolk,NY
11951,Mastic Beach,Suffolk,NY
11771,Oyster Bay,Nassau,NY
11714,Bethpage,Nassau,NY
11801,Hicksville,Nassau,NY
11955,Moriches,Suffolk,NY
11572,Oceanside,Nassau,NY
14850,Ithaca,Tompkins,NY
11798,Wyandanch,Suffolk,NY
11967,Shirley,Suffolk,NY
11776,Port Jefferson Station,Suffolk,NY
11720,Centereach,Suffolk,NY
11727,Coram,Suffolk,NY
11590,Westbury,Nassau,NY
11702,Babylon,Suffolk,NY
11050,Port Washington,Nassau,NY
11784,Selden,Suffolk,NY
11710,North Bellmore,Nassau,NY
11942,East Quogue,Suffolk,NY
11803,Plainview,Nassau,NY
11757,Lindenhurst,Suffolk,NY
11968,Southampton,Suffolk,NY
11968,Southampton,Suffolk,NY
11952,Mattituck,Suffolk,NY
11757,Lindenhurst,Suffolk,NY
11756,Levittown,Nassau,NY
11756,Levittown,Nassau,NY
11559,Lawrence,Nassau,NY
13905,Binghamton,Broome,NY
11545,Glen Head,Nassau,NY
11741,Holbrook,Suffolk,NY
11968,Southampton,Suffolk,NY
11727,Coram,Suffolk,NY
11962,Sagaponack,Suffolk,NY
11217,Brooklyn,Kings,NY
11739,Great River,Suffolk,NY
11755,Lake Grove,Suffolk,NY
11715,Blue Point,Suffolk,NY
11937,East Hampton,Suffolk,NY
11751,Islip,Suffolk,NY
11706,Bay Shore,Suffolk,NY
11706,Bay Shore,Suffolk,NY
11545,Glen Head,Nassau,NY
11803,Plainview,Nassau,NY
11931,Aquebogue,Suffolk,NY
11784,Selden,Suffolk,NY
11752,Islip Terrace,Suffolk,NY
11758,Massapequa,Nassau,NY
11793,Wantagh,Nassau,NY
11946,Hampton Bays,Suffolk,NY
11722,Central Islip,Suffolk,NY
11743,Huntington,Suffolk,NY
12572,Rhinebeck,Dutchess,NY
12723,Callicoon,Sullivan,NY
11932,Bridgehampton,Suffolk,NY
11787,Hauppauge,Suffolk,NY
11746,Dix Hills,Suffolk,NY
11954,Montauk,Suffolk,NY
11967,Shirley,Suffolk,NY
11782,Sayville,Suffolk,NY
11952,Mattituck,Suffolk,NY
11201,Brooklyn,Kings,NY
10980,Stony Point,Rockland,NY
11749,Islandia,Suffolk,NY
11596,Williston Park,Nassau,NY
11569,Point Lookout,Nassau,NY
11756,Levittown,Nassau,NY
11725,Commack,Suffolk,NY
11933,Calverton,Suffolk,NY
11713,Bellport,Suffolk,NY
11946,Hampton Bays,Suffolk,NY
11722,Central Islip,Suffolk,NY
10940,Middletown,Orange,NY
12066,Esperance,Montgomery,NY
11793,Wantagh,Nassau,NY
11725,Commack,Suffolk,NY
11569,Point Lookout,Nassau,NY
11752,Islip Terrace,Suffolk,NY
11703,North Babylon,Suffolk,NY
11930,Amagansett,Suffolk,NY
11783,Seaford,Nassau,NY
11729,Deer Park,Suffolk,NY
10954,Nanuet,Rockland,NY
11701,Amityville,Suffolk,NY
11763,Medford,Suffolk,NY
11779,Ronkonkoma,Suffolk,NY
11561,Long Beach,Nassau,NY
11787,Smithtown,Suffolk,NY
11714,Bethpage,Nassau,NY
11510,Baldwin,Nassau,NY
11721,Centerport,Suffolk,NY
11701,Amityville,Suffolk,NY
11954,Montauk,Suffolk,NY
12928,Crown Point,Essex,NY
11566,Merrick,Nassau,NY
11566,Merrick,Nassau,NY
11716,Bohemia,Suffolk,NY
11752,Islip Terrace,Suffolk,NY
13844,South Plymouth,Chenango,NY
11559,Lawrence,Nassau,NY
11793,Wantagh,Nassau,NY
11705,Bayport,Suffolk,NY
11731,East Northport,Suffolk,NY
11704,West Babylon,Suffolk,NY
11772,Patchogue,Suffolk,NY
11793,Wantagh,Nassau,NY
11942,East Quogue,Suffolk,NY
11792,Wading River,Suffolk,NY
13152,Skaneateles,Onondaga,NY
11954,Montauk,Suffolk,NY
11746,Huntington Station,Suffolk,NY
11978,Westhampton Beach,Suffolk,NY
11784,Selden,Suffolk,NY
11580,Valley Stream,Nassau,NY
11738,Farmingville,Suffolk,NY
11772,Patchogue,Suffolk,NY
11738,Farmingville,Suffolk,NY
11365,Fresh Meadows,Queens,NY
11948,Laurel,Suffolk,NY
11967,Shirley,Suffolk,NY
11767,Nesconset,Suffolk,NY
11731,East Northport,Suffolk,NY
11572,Oceanside,Nassau,NY
11743,Huntington,Suffolk,NY
11743,Huntington,Suffolk,NY
11757,Lindenhurst,Suffolk,NY
11756,Levittown,Nassau,NY
11976,Water Mill,Suffolk,NY
11561,Long Beach,Nassau,NY
11572,Oceanside,Nassau,NY
11704,West Babylon,Suffolk,NY
11780,Saint James,Suffolk,NY
11566,Merrick,Nassau,NY
11967,Shirley,Suffolk,NY
12590,Wappingers Falls,Dutchess,NY
11725,Commack,Suffolk,NY
11954,Montauk,Suffolk,NY
11552,West Hempstead,Nassau,NY
11795,West Islip,Suffolk,NY
11755,Lake Grove,Suffolk,NY
11954,Montauk,Suffolk,NY
11713,Bellport,Suffolk,NY
11949,Manorville,Suffolk,NY
11572,Oceanside,Nassau,NY
11801,Hicksville,Nassau,NY
11793,Wantagh,Nassau,NY
11790,Stony Brook,Suffolk,NY
11704,West Babylon,Suffolk,NY
11778,Rocky Point,Suffolk,NY
11787,Smithtown,Suffolk,NY
11746,Huntington Station,Suffolk,NY
11937,East Hampton,Suffolk,NY
11951,Mastic Beach,Suffolk,NY
11978,Westhampton Beach,Suffolk,NY
11741,Holbrook,Suffolk,NY
11720,South Setauket,Suffolk,NY
11757,Lindenhurst,Suffolk,NY
11757,Lindenhurst,Suffolk,NY
11710,North Bellmore,Nassau,NY
11762,Massapequa Park,Nassau,NY
11968,Southampton,Suffolk,NY
11779,Lake Ronkonkoma,Suffolk,NY
13843,South New Berlin,Chenango,NY
11542,Glen Cove,Nassau,NY
11792,Wading River,Suffolk,NY
11731,East Northport,Suffolk,NY
11735,Farmingdale,Suffolk,NY
11791,Syosset,Nassau,NY
11757,Lindenhurst,Suffolk,NY
11752,Islip Terrace,Suffolk,NY
11720,Centereach,Suffolk,NY
11946,Hampton Bays,Suffolk,NY
11977,Westhampton,Suffolk,NY
11764,Miller Place,Suffolk,NY
11795,West Islip,Suffolk,NY
11954,Montauk,Suffolk,NY
11720,Centereach,Suffolk,NY
11726,Copiague,Suffolk,NY
11776,Port Jefferson Station,Suffolk,NY
11738,Farmingville,Suffolk,NY
12308,Schenectady,Schenectady,NY
11784,Selden,Suffolk,NY
11727,Coram,Suffolk,NY
11934,Center Moriches,Suffolk,NY
11722,Central Islip,Suffolk,NY
11932,Bridgehampton,Suffolk,NY
11767,Nesconset,Suffolk,NY
11953,Middle Island,Suffolk,NY
14850,Ithaca,Tompkins,NY
11930,Amagansett,Suffolk,NY
11710,Bellmore,Nassau,NY
13901,Binghamton,Broome,NY
11755,Lake Grove,Suffolk,NY
11942,East Quogue,Suffolk,NY
11749,Islandia,Suffolk,NY
11787,Smithtown,Suffolk,NY
12144,Rensselaer,Rensselaer,NY
11778,Rocky Point,Suffolk,NY
11746,Huntington Station,Suffolk,NY
11776,Port Jefferson Station,Suffolk,NY
11963,Sag Harbor,Suffolk,NY
11763,Medford,Suffolk,NY
11784,Selden,Suffolk,NY
11741,Holbrook,Suffolk,NY
11954,Montauk,Suffolk,NY
11554,East Meadow,Nassau,NY
11949,Manorville,Suffolk,NY
11238,Brooklyn,Kings,NY
12018,Averill Park,Rensselaer,NY
11972,Speonk,Suffolk,NY
11755,Lake Grove,Suffolk,NY
11754,Kings Park,Suffolk,NY
11776,Port Jefferson Station,Suffolk,NY
11764,Miller Place,Suffolk,NY
11742,Holtsville,Suffolk,NY
11763,Medford,Suffolk,NY
11797,Woodbury,Nassau,NY
11952,Mattituck,Suffolk,NY
11566,Merrick,Nassau,NY
11754,Kings Park,Suffolk,NY
11951,Mastic Beach,Suffolk,NY
11795,West Islip,Suffolk,NY
11757,Lindenhurst,Suffolk,NY
11935,Cutchogue,Suffolk,NY
11715,Blue Point,Suffolk,NY
11735,Farmingdale,Suffolk,NY
11758,Massapequa,Nassau,NY
11790,Stony Brook,Suffolk,NY
11934,Center Moriches,Suffolk,NY
11793,Wantagh,Nassau,NY
11933,Calverton,Suffolk,NY
11764,Miller Place,Suffolk,NY
11753,Jericho,Nassau,NY
11784,Selden,Suffolk,NY
14859,Lockwood,Tioga,NY
11937,East Hampton,Suffolk,NY
11961,Ridge,Suffolk,NY
11727,Coram,Suffolk,NY
11803,Plainview,Nassau,NY
11757,Lindenhurst,Suffolk,NY
11791,Syosset,Nassau,NY
11757,Lindenhurst,Suffolk,NY
11220,Brooklyn,Kings,NY
11950,Mastic,Suffolk,NY
11962,Sagaponack,Suffolk,NY
11050,Port Washington,Nassau,NY
11501,Mineola,Nassau,NY
11746,Dix Hills,Suffolk,NY
11561,Long Beach,Nassau,NY
11756,Levittown,Nassau,NY
11762,Massapequa Park,Nassau,NY
11706,Bay Shore,Suffolk,NY
11783,Seaford,Nassau,NY
11713,Brookhaven,Suffolk,NY
11954,Montauk,Suffolk,NY
11710,Bellmore,Nassau,NY
11715,Blue Point,Suffolk,NY
11735,Farmingdale,Suffolk,NY
11754,Kings Park,Suffolk,NY
11716,Bohemia,Suffolk,NY
11561,Long Beach,Nassau,NY
13159,Tully,Onondaga,NY
11040,Garden City Park,Nassau,NY
11795,West Islip,Suffolk,NY
11010,Franklin Square,Nassau,NY
13438,Remsen,Oneida,NY
11937,East Hampton,Suffolk,NY
11751,Islip,Suffolk,NY
11590,Westbury,Nassau,NY
12804,Queensbury,Warren,NY
11967,Shirley,Suffolk,NY
11704,West Babylon,Suffolk,NY
11975,Wainscott,Suffolk,NY
11746,Huntington Station,Suffolk,NY
11801,Hicksville,Nassau,NY
11777,Port Jefferson,Suffolk,NY
13159,Tully,Onondaga,NY
11741,Holbrook,Suffolk,NY
11715,Blue Point,Suffolk,NY
11755,Lake Grove,Suffolk,NY
11706,Bay Shore,Suffolk,NY
11572,Oceanside,Nassau,NY
11706,Bay Shore,Suffolk,NY
11937,East Hampton,Suffolk,NY
11959,Quogue,Suffolk,NY
11566,Merrick,Nassau,NY
11558,Island Park,Nassau,NY
11558,Island Park,Nassau,NY
11795,West Islip,Suffolk,NY
11780,Saint James,Suffolk,NY
11721,Centerport,Suffolk,NY
11746,Dix Hills,Suffolk,NY
11743,Huntington,Suffolk,NY
11762,Massapequa Park,Nassau,NY
11040,New Hyde Park,Nassau,NY
11730,East Islip,Suffolk,NY
11769,Oakdale,Suffolk,NY
11725,Commack,Suffolk,NY
11961,Ridge,Suffolk,NY
11703,North Babylon,Suffolk,NY
13904,Binghamton,Broome,NY
11934,Center Moriches,Suffolk,NY
11787,Smithtown,Suffolk,NY
10570,Pleasantville,Westchester,NY
11754,Kings Park,Suffolk,NY
11787,Smithtown,Suffolk,NY
11702,Babylon,Suffolk,NY
11944,Greenport,Suffolk,NY
13337,Fly Creek,Otsego,NY
11930,Amagansett,Suffolk,NY
11730,East Islip,Suffolk,NY
11937,East Hampton,Suffolk,NY
11563,Lynbrook,Nassau,NY
11952,Mattituck,Suffolk,NY
11050,Port Washington,Nassau,NY
11742,Holtsville,Suffolk,NY
11566,Merrick,Nassau,NY
11937,Amagansett,Suffolk,NY
11716,Bohemia,Suffolk,NY
11948,Laurel,Suffolk,NY
11566,Merrick,Nassau,NY
11030,Manhasset,Nassau,NY
11772,Patchogue,Suffolk,NY
11780,Saint James,Suffolk,NY
11779,Ronkonkoma,Suffolk,NY
11366,Fresh Meadows,Queens,NY
11757,Lindenhurst,Suffolk,NY
11758,Massapequa,Nassau,NY
11701,Amityville,Suffolk,NY
13753,Delhi,Delaware,NY
11751,Islip,Suffolk,NY
11510,Baldwin,Nassau,NY
11553,Uniondale,Nassau,NY
11530,Garden City,Nassau,NY
11793,Wantagh,Nassau,NY
11710,North Bellmore,Nassau,NY
11554,East Meadow,Nassau,NY
11951,Mastic Beach,Suffolk,NY
11704,West Babylon,Suffolk,NY
11798,Wyandanch,Suffolk,NY
12590,Wappingers Falls,Dutchess,NY
11782,Sayville,Suffolk,NY
11967,Shirley,Suffolk,NY
11935,Cutchogue,Suffolk,NY
11729,Deer Park,Suffolk,NY
11976,Water Mill,Suffolk,NY
13732,Apalachin,Tioga,NY
11772,East Patchogue,Suffolk,NY
13071,Genoa,Cayuga,NY
12958,Mooers,Clinton,NY
12550,Newburgh,Orange,NY
11023,Great Neck,Nassau,NY
11741,Holbrook,Suffolk,NY
11746,Dix Hills,Suffolk,NY
11563,Lynbrook,Nassau,NY
11581,Valley Stream,Nassau,NY
11702,Babylon,Suffolk,NY
11215,Brooklyn,Kings,NY
11779,Lake Ronkonkoma,Suffolk,NY
11961,Ridge,Suffolk,NY
11725,Commack,Suffolk,NY
11721,Centerport,Suffolk,NY
11729,Deer Park,Suffolk,NY
11702,Babylon,Suffolk,NY
11764,Miller Place,Suffolk,NY
11755,Lake Grove,Suffolk,NY
11757,Lindenhurst,Suffolk,NY
11764,Miller Place,Suffolk,NY
11768,Northport,Suffolk,NY
11561,Lido Beach,Nassau,NY
11746,Huntington Station,Suffolk,NY
11776,Port Jefferson Station,Suffolk,NY
11704,West Babylon,Suffolk,NY
12921,Chazy,Clinton,NY
11040,New Hyde Park,Nassau,NY
11702,Babylon,Suffolk,NY
11729,Deer Park,Suffolk,NY
11746,Dix Hills,Suffolk,NY
11763,Medford,Suffolk,NY
11778,Rocky Point,Suffolk,NY
11971,Southold,Suffolk,NY
11758,Massapequa,Nassau,NY
11780,Saint James,Suffolk,NY
11949,Manorville,Suffolk,NY
11561,Long Beach,Nassau,NY
11776,Port Jefferson Station,Suffolk,NY
12477,Saugerties,Ulster,NY
11704,West Babylon,Suffolk,NY
14420,Brockport,Monroe,NY
11784,Selden,Suffolk,NY
11772,Patchogue,Suffolk,NY
11726,Copiague,Suffolk,NY
11727,Coram,Suffolk,NY
11937,East Hampton,Suffolk,NY
12024,Brainard,Rensselaer,NY
11705,Bayport,Suffolk,NY
11020,Great Neck,Nassau,NY
12492,West Kill,Greene,NY
10605,White Plains,Westchester,NY
11596,Williston Park,Nassau,NY
11791,Syosset,Nassau,NY
11980,Yaphank,Suffolk,NY
11710,North Bellmore,Nassau,NY
11793,Wantagh,Nassau,NY
11566,Merrick,Nassau,NY
12525,Gardiner,Ulster,NY
11731,East Northport,Suffolk,NY
11793,Wantagh,Nassau,NY
11572,Oceanside,Nassau,NY
11798,Wyandanch,Suffolk,NY
11720,Centereach,Suffolk,NY
11730,East Islip,Suffolk,NY
11557,Hewlett,Nassau,NY
11716,Bohemia,Suffolk,NY
11796,West Sayville,Suffolk,NY
11772,Patchogue,Suffolk,NY
11743,Huntington,Suffolk,NY
11741,Holbrook,Suffolk,NY
11777,Port Jefferson,Suffolk,NY
11941,Eastport,Suffolk,NY
11803,Plainview,Nassau,NY
11787,Smithtown,Suffolk,NY
11942,East Quogue,Suffolk,NY
11735,Farmingdale,Suffolk,NY
11040,New Hyde Park,Nassau,NY
11729,Deer Park,Suffolk,NY
11803,Plainview,Nassau,NY
10583,Scarsdale,Westchester,NY
11747,Melville,Suffolk,NY
11787,Smithtown,Suffolk,NY
11770,Ocean Beach,Suffolk,NY
12533,Hopewell Junction,Dutchess,NY
11949,Manorville,Suffolk,NY
11697,Rockaway Point,Queens,NY
11703,North Babylon,Suffolk,NY
11934,Center Moriches,Suffolk,NY
11703,North Babylon,Suffolk,NY
11741,Holbrook,Suffolk,NY
11795,West Islip,Suffolk,NY
11703,North Babylon,Suffolk,NY
11738,Farmingville,Suffolk,NY
11703,North Babylon,Suffolk,NY
11729,Deer Park,Suffolk,NY
11968,Southampton,Suffolk,NY
11780,Saint James,Suffolk,NY
11793,Wantagh,Nassau,NY
11935,Cutchogue,Suffolk,NY
11702,Babylon,Suffolk,NY
11968,Southampton,Suffolk,NY
11949,Manorville,Suffolk,NY
11558,Island Park,Nassau,NY
11961,Ridge,Suffolk,NY
11566,Merrick,Nassau,NY
11964,Shelter Island,Suffolk,NY
11803,Plainview,Nassau,NY
11743,Huntington,Suffolk,NY
13760,Endicott,Tioga,NY
11749,Islandia,Suffolk,NY
11978,Westhampton Beach,Suffolk,NY
11720,Centereach,Suffolk,NY
11710,Bellmore,Nassau,NY
11793,Wantagh,Nassau,NY
11757,Lindenhurst,Suffolk,NY
11937,East Hampton,Suffolk,NY
11934,Center Moriches,Suffolk,NY
11754,Kings Park,Suffolk,NY
11795,West Islip,Suffolk,NY
11754,Kings Park,Suffolk,NY
11716,Bohemia,Suffolk,NY
11757,Lindenhurst,Suffolk,NY
11796,West Sayville,Suffolk,NY
11741,Holbrook,Suffolk,NY
11705,Bayport,Suffolk,NY
11040,New Hyde Park,Nassau,NY
11758,Massapequa,Nassau,NY
11577,Roslyn Heights,Nassau,NY
11743,Huntington,Suffolk,NY
11768,Northport,Suffolk,NY
11714,Bethpage,Nassau,NY
11719,Brookhaven,Suffolk,NY
10954,Nanuet,Rockland,NY
11763,Medford,Suffolk,NY
11741,Holbrook,Suffolk,NY
11710,North Bellmore,Nassau,NY
11801,Hicksville,Nassau,NY
11566,Merrick,Nassau,NY
11968,Southampton,Suffolk,NY
11782,Cherry Grove,Suffolk,NY
11776,Port Jefferson Station,Suffolk,NY
11746,Dix Hills,Suffolk,NY
11960,Remsenburg,Suffolk,NY
11590,Westbury,Nassau,NY
11787,Smithtown,Suffolk,NY
11720,Centereach,Suffolk,NY
11793,Wantagh,Nassau,NY
11747,Melville,Suffolk,NY
11510,Baldwin,Nassau,NY
14850,Ithaca,Tompkins,NY
12513,Claverack,Columbia,NY
13760,Endwell,Broome,NY
11953,Middle Island,Suffolk,NY
11570,Rockville Center,Nassau,NY
11706,Bay Shore,Suffolk,NY
14867,Newfield,Tompkins,NY
11801,Hicksville,Nassau,NY
11771,Oyster Bay,Nassau,NY
11754,Kings Park,Suffolk,NY
12921,Chazy,Clinton,NY
11776,Port Jefferson Station,Suffolk,NY
11976,Water Mill,Suffolk,NY
11978,Westhampton Beach,Suffolk,NY
11788,Hauppauge,Suffolk,NY
12015,Athens,Greene,NY
11738,Selden,Suffolk,NY
11727,Coram,Suffolk,NY
11710,Bellmore,Nassau,NY
11932,Bridgehampton,Suffolk,NY
11792,Wading River,Suffolk,NY
11779,Ronkonkoma,Suffolk,NY
11933,Calverton,Suffolk,NY
11931,Aquebogue,Suffolk,NY
11901,Flanders,Suffolk,NY
11704,West Babylon,Suffolk,NY
11798,Wyandanch,Suffolk,NY
12037,Chatham,Columbia,NY
11771,Oyster Bay,Nassau,NY
11763,Medford,Suffolk,NY
11704,West Babylon,Suffolk,NY
11701,Amityville,Suffolk,NY
11795,West Islip,Suffolk,NY
11778,Rocky Point,Suffolk,NY
11705,Bayport,Suffolk,NY
14418,Branchport,Yates,NY
14882,Lansing,Tompkins,NY
12020,Ballston Spa,Saratoga,NY
11944,Greenport,Suffolk,NY
11767,Nesconset,Suffolk,NY
13073,Groton,Tompkins,NY
11731,East Northport,Suffolk,NY
11554,East Meadow,Nassau,NY
11801,Hicksville,Nassau,NY
11776,Port Jefferson Station,Suffolk,NY
11934,Center Moriches,Suffolk,NY
11702,Babylon,Suffolk,NY
11743,Huntington,Suffolk,NY
12582,Stormville,Dutchess,NY
11756,Levittown,Nassau,NY
11950,Mastic,Suffolk,NY
11961,Ridge,Suffolk,NY
11798,Wyandanch,Suffolk,NY
11738,Farmingville,Suffolk,NY
11950,Mastic,Suffolk,NY
11731,East Northport,Suffolk,NY
11560,Locust Valley,Nassau,NY
11720,Centereach,Suffolk,NY
11954,Montauk,Suffolk,NY
11704,North Babylon,Suffolk,NY
